id,prod_name,price,country,source,author,review_txt,rating
28,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Mit Alexa bekam ich ein tolles Geschenk!Spielt Radio jeden Sender den ich möchte,laut leiser auf Zurufe.Wettervorhersage ..einfach prima.Die kleine Kugel steht bei mir im Wohnzimmer und passt zu E...",5
29,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,Die Einstellung war einfach. Es funktioniert alles ohne Probleme. Ich bin sehr zufrieden mit dem Produkt.,5
30,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Es ist unsere erste Alexa im Haus,die ganze Familie ist total begeistert und hat ständig neue Aufgaben für die kleine Kugel die nebenbei auch noch einen sehr guten Radioklang hat",5
31,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Wirklich sehr leicht zu bedienen, super Produkt!!! Kann es nur empfehlen!!! Preis Leistungsverhältnis stimmt",5
32,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Gute verarbeitet und hat eine gute Klang QualitätMit Akku Wäre es noch besser !!",5
33,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,Tolles Produkt sowie die anderen auch die wir haben können wir jedem empfehlen..,5
34,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,Sehr gute produkt. Ich habe für mein Sohn gekauft. Er freut sich sehr. Kann mann nur weiter zu empfehlen.,5
35,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,Bin zufrieden. Der sound ist recht gut für das kleine Gerät. Mein Licht und der Fernseh können per Sprachsteuerung ausgeschaltet werden.,5
36,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Schnelle Einstellung, wirklich schöne Farben, und Design. Meine Tochter war richtig begeistert",5
37,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Schnelle Einstellung, sehr interessant mit der Digitalen Schrift, sehr zufrieden",5
38,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Die Farbe ist cool, das Design modisch und die Funktionen super. Auch das Dimmbare Display ist praktisch",5
39,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"beantwortet fast alle Fragen, einzig die automatische Bestellfunktion gefällt mir  nicht, da sie in der AlexaApp schon voreingestellt war.zum Glück kann man die abstellen und dadurch nichts aus Verseh...",5
40,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Einfach einzurichten und macht was es tun soll… Die homefunktion ist perfekt. Die Empfindlichkeit von Alexa ist enorm gut. Man kann aus anderen Räumen Befehle geben.",5
41,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Kleines, feines Gerät, das macht was es soll. Dazu ein ganz netten Klang, den ich gar nicht erwartet hätte. Installation easy und leicht verständlich. Doch, das Produkt kann ich empfehlen",5
42,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,Ich habe bei einer Freundin ein Echo Dot gesehen und habe es mir dann auch gekauft.  Bisher läuft alles super. Alexa versteht einen sehr gut.,5
43,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,Alles daran ist super. Auch das Kind ist mega begeistert. Ich würde es immer wieder kaufen,5
44,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,Alexa ist zwar noch nicht mit ChatGPT vergleichbar. Aber Alexa kann schon sehr viele. v.a. viele Smart Home Skills. Preis schwankt extrem von 30 € bis 60 €.,5
45,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,Ich finde ihn super ich erwende ihn täglich für Nachrichten und Wetter habe schon drei Echos  negatives habe ich nicht zu berichten selbst in meiner Familie ist man begeistert und hat sich einen zugel...,5
46,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Funktioniert einwandfrei, Installation ist total einfach. App runtergehen und los geht es",5
47,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Tolles Gerät, macht gute Laune mit dem Licht und ist leicht zu Bedienen. Klang ist auch wunderbar.",5
48,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,Es passt alles ich würde den Echo Dot wieder kaufen. Und werde den Echo Dot weiter empfehlen.,5
49,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Guter Lautsprecher, extrem gute Sprachsteuerung. Das Koppeln mit einem Bluetooth-Lausprecher klappte auf Anhieb. die Einstellungen werden nicht vergessen. Das Design ist zeitlos schön. Die LED-Uhr und...",5
50,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,Alexa reagiert schnell und liefert mir alles was ich brauche 😊so singt Alexa sogar Kinderlieder mit meiner Tochter ❤️bin begeistert.,5
51,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Besonders gut, hat uns gefallen, dass diese Alexa direkt auf Kinder zugeschnitten und abgesichert ist. Die wiedergegebenen Inhalte sind kindgerecht und sicher. Bei der normalen Alexa hatten wir immer ...",5
52,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Einfacheres Bedienen einfach durch sprechen, Ton und Wiedergabe funktioniert super. Auch das koppeln mit einer weiteren Alexa ist einfach und funktioniert super.",5
53,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Wir durften im Rahmen von MediaMarkt Testpiloten den Echo Dot (5. Generation, 2022) Kids testen. Das Gerät hat einen sehr guten und klaren Sound. Das Drachendesign ist sehr kindgerecht und gefällt m...",5
54,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Schnelle, einfache unkompliziert Istallationen. Kinderleichte Bedienung, super Sound. Lautstärke Kindergerecht. Tolles Muster, unsere Kinder lieben die Alexa, können die uneingeschränkt weiterempfehle...",5
